Strain,Rating,Description,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Flavor_1,Flavor_2,Flavor_3,Type,pr_words
Alien-Dawg,4.3,"descending from northern california and afghanistan genetics, alien dawg is a cross between chemdawg and alien technology with a thc content of up to 20%. with a sour and pungent odor, alien dawg has a light, bitter taste and presents brilliant mind and body effects.",Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Pungent,Woody,2,descending northern california afghanistan genetics alien dawg cross chemdawg alien technology thc content sour pungent odor alien dawg light bitter taste presents brilliant mind body effects
Alien-Dutchess,4.2,"alien dutchess by cresco labs brings together strong euphoria and deep relaxation to create a strain that is as potent as it is refined. created by crossing dutch treat haze and alien og, this strain exhibits a spicy, herbaceous aroma with hints of pine and lemon. the earthy and citrus notes shine through upon consumption. alien dutchess has been known to stimulate appetite and help abate nausea, headaches, and stress.",Euphoric,Relaxed,Uplifted,Focused,Happy,Sweet,Berry,Blueberry,1,alien dutchess cresco labs brings together strong euphoria deep relaxation create strain potent refined created crossing dutch treat haze alien og strain exhibits spicy herbaceous aroma hints pine lemon earthy citrus notes shine upon consumption alien dutchess known stimulate appetite help abate nausea headaches stress
Alien-Hallucination,4.1,"alien hallucination is a hybrid cannabis strain that is believed to be a cross between the sedating tahoe alien and lsd, a classic amsterdam hybrid known for its trippy head buzz. bred by alien genetics, this strain will abduct the mind while your body remains anchored in deep physical relaxation.",Happy,Relaxed,Giggly,Aroused,Hungry,Sweet,Earthy,Diesel,0,alien hallucination hybrid cannabis strain believed cross sedating tahoe alien lsd classic amsterdam hybrid known trippy head buzz bred alien genetics strain abduct mind body remains anchored deep physical relaxation
Alien-Inferno,4.8,"using a white fire #6 and alien og hybrid and crossing it again with diablo, livwell created alien inferno. rock solid buds slathered in trichomes and red pistils, alien inferno is a heavy-handed og hybrid that can help relieve pain, boost creativity, and help you unwind. with the taste of earth, pine, and lemon, this potent indica-dominant hybrid will take care of even the most experienced connoisseur.",Happy,Talkative,Euphoric,Uplifted,Energetic,Pine,Diesel,Earthy,0,using white fire alien og hybrid crossing diablo livwell created alien inferno rock solid buds slathered trichomes red pistils alien inferno og hybrid help relieve pain boost creativity help unwind taste earth pine lemon potent hybrid take care even experienced connoisseur
Alien-Kush,4.2,"alien kush is a potent cross of lvpk and alien dawg that originally hails from california, not deep space. it may have you feeling a little spacey, though, as this mostly indica hybrid touches down in the brain first, giving active, sometimes-psychedelic effects that are more traditionally sativa. the active buzz settles over time into a relaxing body buzz that will dissolve both stress and pain. alien kush plants have average yields, but they are hardy, easy-to-grow plants, indoors or out. the light green buds have a covering of red or orange hairs and should be airy. this strain has a piney smell, but the taste is a subtle spiciness that is reminiscent of tea.",Relaxed,Euphoric,Happy,Tingly,Uplifted,Earthy,Woody,Flowery,2,alien kush potent cross lvpk alien dawg originally hails california deep space may feeling little spacey though mostly indica hybrid touches brain first giving active effects traditionally sativa active buzz settles time relaxing body buzz dissolve stress pain alien kush plants average yields hardy plants indoors light green buds covering red orange hairs airy strain piney smell taste subtle spiciness reminiscent tea
Alien-Og,4.5,"first available as a clone in california’s bay area and now in seed form from cali connection, alien og is a cross of tahoe og and alien kush. one of the most potent strains available today, this indica-dominant hybrid has tested as high as 28% thc. alien og has the typical lemon-pine “og” smell and flavor, and an intense high that combines heavy indica body effects and a psychedelic cerebral buzz. beginners and novices, be sure to take it slow with this heavy-hitter.",Relaxed,Happy,Euphoric,Uplifted,Creative,Earthy,Lemon,Citrus,0,first available clone california bay area seed form cali connection alien og cross tahoe og alien kush one potent strains available today hybrid tested high thc alien og typical og smell flavor intense high combines heavy indica body effects psychedelic cerebral buzz beginners novices sure take slow
Alien-Reunion,4.9,"alien reunion is an indica-dominant cross of alien og and alien dawg bred by cannobi genetics. its dense colas emit a pungent mix of flavors that include sweet fruity tones of cherry and lemon combined with a skunky, diesel note. the relaxing effects of alien reunion calm the body while stimulating the mind with an energetic and creative rush that helps you stay productive without feeling sluggish.",Euphoric,Uplifted,Happy,Relaxed,Talkative,Pungent,Skunk,Cheese,0,alien reunion cross alien og alien dawg bred cannobi genetics dense colas emit pungent mix flavors include sweet fruity tones cherry lemon combined skunky diesel note relaxing effects alien reunion calm body stimulating mind energetic creative rush helps stay productive without feeling sluggish
Alien-Rift,4.6,"alien rift by ocean grown seeds is the thoroughly enhanced phenotype of alien abduction specifically backcrossed for better hash production. with a tart scent of lemon and spice and buds dense with trichomes, alien rift is certain to please the senses. this strain is the product of crossing alien abduction, alien dawg ('ether' cut), and alien og. with that much extraterrestrial activity, you know this indica is out of this world! use alien rift’s laidback effects to curb stress and moderate physical pain. ",Relaxed,Happy,Euphoric,Uplifted,Hungry,Grape,Earthy,Chemical,2,alien rift ocean grown seeds thoroughly enhanced phenotype alien abduction specifically backcrossed better hash production tart scent lemon spice buds dense trichomes alien rift certain please senses strain product crossing alien abduction alien dawg cut alien og much extraterrestrial activity know indica world use alien rift laidback effects curb stress moderate physical pain
Alien-Rock-Candy,4.7,"alien rock candy by alien genetics is an indica-dominant hybrid with an aroma as sweet as the name suggests. this sour dubble and tahoe alien cross captures a fruity, citrus aroma that carries through until the exhale. full relaxation of the mind and body make this strain ideal for the end of an active or stressful day, with a heaviness that segueways nicely into sleep. the effects may take a few minutes to peak, but alien rock candy packs a powerful euphoric punch once it sets in. a good choice for both novice and expert growers alike, alien rock candy finishes around 8 weeks into its flowering cycle. ",Relaxed,Happy,Euphoric,Sleepy,Tingly,Sweet,Citrus,Earthy,0,alien rock candy alien genetics hybrid aroma sweet name suggests sour dubble tahoe alien cross captures fruity citrus aroma carries exhale full relaxation mind body make strain ideal end active stressful day heaviness segueways nicely sleep effects may take minutes peak alien rock candy packs powerful euphoric punch sets good choice novice expert growers alike alien rock candy finishes around weeks flowering cycle
Alien-Sour-Apple,4.6,"alien sour apple is a sativa-dominant hybrid that mixes the genetics of alien dawg with sour apple. bred by franchise genetics, alien sour apple tastes sweet and sour, like a granny smith apple. its heady sativa effects provide a lift of energy and incite an optimistic sense of euphoria.",Euphoric,Relaxed,Uplifted,Creative,Happy,Sweet,Lemon,Apple,0,alien sour apple hybrid mixes genetics alien dawg sour apple bred franchise genetics alien sour apple tastes sweet sour like granny smith apple heady sativa effects provide lift energy incite optimistic sense euphoria
Alien-Stardawg,4.4,"alien stardawg is a sativa-dominant hybrid cross of alien kush and stardawg bred by green beanz seeds. stretchy plants produce large yields of frosty green, red, blue, and purple colored buds with pleasing cherry hash and chem-fuel flavors and a potent well-rounded high.  ",Uplifted,Happy,Euphoric,Creative,Tingly,Diesel,Spicy/Herbal,Sage,1,alien stardawg hybrid cross alien kush stardawg bred green beanz seeds stretchy plants produce large yields frosty green red blue purple colored buds pleasing cherry hash flavors potent high
Alien-Technology,4.5,"very little is known about alien technology other than it is a landrace strain selected from a handful of seeds acquired by breeder obsoul33t from a us soldier returning from afghanistan. it is a pure indica that features light green buds, incredible trichome production, and a spicy, hashy flavor/aroma with fuel undertones. reports indicate that the high is more stimulating than your typical indica, while lasting as long as 6 hours. alien technology has been used in breeding some of today’s most potent hybrids such as alien dawg and alien kush.",Happy,Relaxed,Uplifted,Euphoric,Focused,Earthy,Spicy/Herbal,Woody,2,little known alien technology landrace strain selected handful seeds acquired breeder us soldier returning afghanistan pure indica features light green buds incredible trichome production spicy hashy fuel undertones reports indicate high stimulating typical indica lasting long hours alien technology used breeding today potent hybrids alien dawg alien kush
Aliens-On-Moonshine,4.5,"aliens on moonshine by sin city seeds is a potent cbd-rich phenotype of the cali connection’s sour alien crossed with white moonshine. this indica-dominant strain emits a funky aroma that is a clashing of sour, sweet, and chemicals. the 5:1 cbd/thc ratio gives aliens on moonshine potent medicinal properties while remaining mostly functional. its effects land firmly in the body and can assist with inflammation, irritability, and minor physical discomfort. the uplifting, clearheaded buzz and soothing physical effects make aliens on moonshine an excellent add-in or standalone strain for cbd lovers everywhere.    ",Relaxed,Happy,Talkative,Uplifted,Giggly,Citrus,Sage,Grapefruit,2,aliens moonshine sin city seeds potent phenotype cali connection sour alien crossed white moonshine strain emits funky aroma clashing sour sweet chemicals ratio gives aliens moonshine potent medicinal properties remaining mostly functional effects land firmly body assist inflammation irritability minor physical discomfort uplifting clearheaded buzz soothing physical effects make aliens moonshine excellent standalone strain cbd lovers everywhere
Allen-Iverson-Og,5.0,"allen iverson og is a heavy indica strain grown exclusively by california’s good as gold. designed for consumers with a stubbornly high tolerance to thc, this potent indica delivers a powerfully euphoric experience that tranquilizes the body while launching your mind to the cosmos. sweet pine and wood flavors intermix with aromas of sour fuel, offering a complex profile for consumers who cherish flavor as much as potency. ",Uplifted,Euphoric,Happy,Relaxed,,None,,,2,allen iverson og heavy indica strain grown exclusively california good gold designed consumers stubbornly high tolerance thc potent indica delivers powerfully euphoric experience tranquilizes body launching mind cosmos sweet pine wood flavors intermix aromas sour fuel offering complex profile consumers cherish flavor much potency
Allen-Wrench,4.3,"a popular strain for sativa-lovers, allen wrench presents the best qualities of its parents, trainwreck and nyc diesel with crisp flavors of sour fruit. its aroma has been characterized as sour and flowery, leaving a lingering scent of fruit. allen wrench is known to provide users with a long-lasting cerebral high and fill an entire room with its strong essence. the buds have a dark-green color and dark foliage with orange pistils growing out. allen wrench also has a 10-11 week flowering time and medium to medium-high thc content.",Happy,Uplifted,Focused,Energetic,Hungry,Citrus,Earthy,Pungent,1,popular strain allen wrench presents best qualities parents trainwreck nyc diesel crisp flavors sour fruit aroma characterized sour flowery leaving lingering scent fruit allen wrench known provide users cerebral high fill entire room strong essence buds color dark foliage orange pistils growing allen wrench also week flowering time medium thc content
Allkush,5.0,"allkush, 2nd prize winner at the 2005 highlife cannabis cup, is a hashy kush blend bred by paradise seeds of amsterdam. this resinous flower hails from the “hippie trail” that winds through pakistan and afghanistan, creating a 75/25 indica-dominant strain that soothes without binding the consumer to the couch. with traditional uplifting cerebral elements and a pleasant sedation on the body, allkush shines on patients seeking relief from sleep disorders, anxiety, and depression. ",Relaxed,Sleepy,Uplifted,Happy,,Spicy/Herbal,Honey,Earthy,2,allkush prize winner highlife cannabis cup hashy kush blend bred paradise seeds amsterdam resinous flower hails hippie trail winds pakistan afghanistan creating strain soothes without binding consumer couch traditional uplifting cerebral elements pleasant sedation body allkush shines patients seeking relief sleep disorders anxiety depression
Aloha,4.2,"aloha is a sativa strain that leaves users with an upbeat, energetic buzz and may also be helpful in treating pain such as migraines. aloha’s flowers will be large and fluffy, with plenty of room for white wispy hairs and sparkling crystals. the aroma of this strain is that of grass and citrus for a fresh experience that may have you thinking of your next island getaway. its sativa effects can be a little much for some users, so those who are looking for less mental stimulation should be warned.",Energetic,Uplifted,Happy,Creative,Focused,Tropical,Sweet,Citrus,1,aloha sativa strain leaves users upbeat energetic buzz may also helpful treating pain migraines aloha flowers large fluffy plenty room white wispy hairs sparkling crystals aroma strain grass citrus fresh experience may thinking next island getaway sativa effects little much users looking less mental stimulation warned
Aloha-Grape-Stomper,5.0,aloha grape stomper is a delicious cross of gage green’s grape stomper and '98 aloha white widow. this hybrid was bred to amplify the strain’s generous trichome production and its potent grape-fuel aroma. it grows vigorously and tends to offer consumers clear-headed effects alongside an airy physical sensation.,Tingly,Uplifted,Euphoric,Giggly,Happy,Blueberry,Grape,Tropical,0,aloha grape stomper delicious cross gage green grape stomper aloha white widow hybrid bred amplify strain generous trichome production potent aroma grows vigorously tends offer consumers effects alongside airy physical sensation
Aloha-Limone,4.8,"the smell of aloha limone has been described as, “a fruit tree rotting in the kona sun.” citrus notes are native to this hawaiian sunrise and nina limone cross, but the plant also expresses latent floral and pungent elements from recessive kush genetics. plan on cheeky euphoria and a physical lightness that encourages outdoor activity. aloha limone is a proprietary genetic cross of colorado seed inc.  ",Euphoric,Creative,Energetic,Talkative,Uplifted,Sweet,Citrus,Earthy,0,smell aloha limone described fruit tree rotting kona citrus notes native hawaiian sunrise nina limone cross plant also expresses latent floral pungent elements recessive kush genetics plan cheeky euphoria physical lightness encourages outdoor activity aloha limone proprietary genetic cross colorado seed inc
Alohaberry,4.2,"originating from the tropical islands of hawaii, alohaberry releases a pleasant aroma and taste of tropical berries. it is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. flowering time for this plant is approximately 8-9 weeks.",Energetic,Uplifted,Aroused,Tingly,Relaxed,Berry,Apple,Chestnut,0,originating tropical islands hawaii alohaberry releases pleasant aroma taste tropical berries known unique sweet taste equal hybrid effects mind body flowering time plant approximately weeks
Alpha-Blue,4.5,"alpha blue, also known as dream diesel (or dd), is a high-flying sativa that combines blue dream and nyc diesel. in 2011 this compelling blend claimed two 2nd place prizes for a sativa at the high times’ medical cup in denver and san francisco. its buds are glazed with sugary trichomes and take on hues of deep red and violet. the aroma is a combination of tart blueberry and sour candy that create a pungent mixture of earthy berry and haze upon exhale. the sweet fragrance of alpha blue brings with it uplifting effects that produce a calming, relaxed mood without putting you to sleep. the cerebral and happy buzz is a great tool when coping with stress and anxiety.",Energetic,Happy,Euphoric,Relaxed,Talkative,Earthy,Blueberry,Sweet,1,alpha blue also known dream diesel dd sativa combines blue dream nyc diesel compelling blend claimed two place prizes sativa high times medical cup denver san francisco buds glazed sugary trichomes take hues deep red violet aroma combination tart blueberry sour candy create pungent mixture earthy berry haze upon exhale sweet fragrance alpha blue brings uplifting effects produce calming relaxed mood without putting sleep cerebral happy buzz great tool coping stress anxiety
Alpha-Cow,5.0,"alpha cow is a sativa strain that brings together genetics from alpha blue and purple cow. its aroma is a distinctive mix of overripe blueberries and sweet toffee, while the exhale accentuates its smooth berry flavors. some sativas tend to bring on racing thoughts, but this strain provides a calming buzz with mellow cerebral sensations that keep you feeling uplifted and positive.",None,,,,,None,,,1,alpha cow sativa strain brings together genetics alpha blue purple cow aroma distinctive mix overripe blueberries sweet toffee exhale accentuates smooth berry flavors sativas tend bring racing thoughts strain provides calming buzz mellow cerebral sensations keep feeling uplifted positive
Alpha-Express,4.7,"alpha express is an introspective sativa strain that descends from alpha blue and ghost train haze. with a complex flavor that spans sour juniper and musky cedar notes, alpha express delivers spacey cerebral effects perfect for meditative or creative activities. its buds bloom with trichome-covered calyxes that carry a red tint as the flowers mature.",Energetic,Focused,Talkative,Happy,Relaxed,Diesel,Earthy,Spicy/Herbal,1,alpha express introspective sativa strain descends alpha blue ghost train haze complex flavor spans sour juniper musky cedar notes alpha express delivers spacey cerebral effects perfect meditative creative activities buds bloom calyxes carry red tint flowers mature
Alpha-Og,4.6,"alpha og from alpha medic is an og kush phenotype that took 2nd place in the 2014 los angeles cannabis cup. its thick layer of crystal trichomes helps to explain why this pungent, pine-scented strain consistently tests over 20% thc when grown optimally. conditions best treated with high-thc strains like alpha og include sleep apnea, appetite and weight loss, nausea, and chronic pain. ",Relaxed,Focused,Happy,Euphoric,Sleepy,Spicy/Herbal,Sweet,Berry,0,alpha og alpha medic og kush phenotype took place los angeles cannabis cup thick layer crystal trichomes helps explain pungent strain consistently tests thc grown optimally conditions best treated strains like alpha og include sleep apnea appetite weight loss nausea chronic pain
Alpine-Blue,5.0,"alpine blue is a 60/40 sativa-dominant hybrid that combines blue mystic and power plant, who pass on uplifting euphoric effects alongside a complex aroma of blueberry and woody pine. while some phenotypes tend toward the indica side of the spectrum, even its common sativa expression induces calming full-body effects. patients typically look to alpine blue for daytime relief of anxiety and mood disorders, gastrointestinal pain, and inflammation.",Uplifted,Creative,Energetic,Aroused,Euphoric,Berry,Blueberry,Pine,0,alpine blue hybrid combines blue mystic power plant pass uplifting euphoric effects alongside complex aroma blueberry woody pine phenotypes tend toward indica side spectrum even common sativa expression induces calming effects patients typically look alpine blue daytime relief anxiety mood disorders gastrointestinal pain inflammation
Alpine-Star,4.2,"alpine star, often labeled as alpine og, is an earthy, citrus mix of tahoe og and sensi star genetics. zesty lemon flavors lead alpine star’s wave of relaxing indica effects. the pain relieving properties of alpine star radiate from the head and neck, calming anxieties and muscle tension as the effects descend to the lower extremities.",Relaxed,Uplifted,Happy,Euphoric,Tingly,Pine,Citrus,Earthy,2,alpine star often labeled alpine og earthy citrus mix tahoe og sensi star genetics zesty lemon flavors lead alpine star wave relaxing indica effects pain relieving properties alpine star radiate head neck calming anxieties muscle tension effects descend lower extremities
Ambrosia,4.4,"stemming from her parents, god bud and burmese, the ambrosia strain is a high that will hit you almost instantaneously and will be felt throughout your body. her mother, burmese is a sativa from the mighty mite seed company and was voted #1 people's choice at the cannabis culture toker's bowl in 2002. for dad, god bud from jordan of the islands, is a mostly indica plant, popular for it's tropical sweet flavor. ambrosia produces a large amount of dense and sticky buds with yellow leaves and orange hairs. ",Uplifted,Euphoric,Relaxed,Creative,Focused,Flowery,Lavender,Earthy,0,stemming parents god bud burmese ambrosia strain high hit almost instantaneously felt throughout body mother burmese sativa mighty mite seed company voted people choice cannabis culture toker bowl dad god bud jordan islands mostly indica plant popular tropical sweet flavor ambrosia produces large amount dense sticky buds yellow leaves orange hairs
American-Dream,4.7,"american dream by sensi seeds is an indica-dominant strain that blends afghan skunk with jamaican and hawaiian genetics. its name is charged with meaning, mainly in that this indica represents “honest toil, personal improvement, and enjoying the fruits of one’s labor,” as sensi seeds puts it. earthy and skunky in flavor, american dream helps you pursue happiness with balanced uplifting, social effects appropriate for day or evening use. ",Focused,Euphoric,Tingly,Energetic,Relaxed,Earthy,Sweet,Pungent,0,american dream sensi seeds strain blends afghan skunk jamaican hawaiian genetics name charged meaning mainly indica represents honest toil personal improvement enjoying fruits one labor sensi seeds puts earthy skunky flavor american dream helps pursue happiness balanced uplifting social effects appropriate day evening use
American-Kush,4.8,"american kush, by alphakronik genes (akg), is a 70/30 indica-dominant combination of pre-98 bubba kush and sin city kush. it is a robust strain with large bulbous colas that deliver the profound, relaxing body effects that have made kush strains so popular. with a smooth palate of flavors ranging from fresh lemon to spicy notes of lavender and coffee, american kush is a delightful answer to muscle spasms, chronic pain, and nausea.",Relaxed,Tingly,Sleepy,Uplifted,Happy,Sweet,Lemon,Lime,2,american kush alphakronik genes akg combination bubba kush sin city kush robust strain large bulbous colas deliver profound relaxing body effects made kush strains popular smooth palate flavors ranging fresh lemon spicy notes lavender coffee american kush delightful answer muscle spasms chronic pain nausea
Americano,4.6,"americano is a canadian strain released by enterprise seeds. it is a northern lights/skunk hybrid that is named for the american consumers it was designed to attract. when tourists, notably americans, came to vancouver looking to purchase bulk cannabis, they wanted their buds to have “bag appeal,” or stunning visual characteristics that made it easy to sell. americano is known for its heavy coat of trichromes and its thick dense colas. the flavors and aromas of americano stay true to its skunk lineage and produce a sweet, piney musk. the effects are exactly what you would expect from an indica-driven hybrid: fast-acting, relaxing, and sleepy. americano is a solid answer to symptoms of insomnia, headaches, and chronic pain.",Relaxed,Creative,Focused,Euphoric,Aroused,Earthy,Spicy/Herbal,Tobacco,2,americano canadian strain released enterprise seeds northern hybrid named american consumers designed attract tourists notably americans came vancouver looking purchase bulk cannabis wanted buds bag appeal stunning visual characteristics made easy sell americano known heavy coat trichromes thick dense colas flavors aromas americano stay true skunk lineage produce sweet piney musk effects exactly would expect hybrid relaxing sleepy americano solid answer symptoms insomnia headaches chronic pain
Amethyst,3.9,"amethyst is a hybrid cannabis strain from the gardens of zion botanicals, who crossed parent strains sage n sour and granddaddy purple. this high-thc 50/50 hybrid provides a clear and focused buzz that sharpens the senses, making this a perfect pair for creative activities, enjoying nature, or productive afternoons. the inhale brings with it sweet and sour flavors ranging from spicy berry to tangy grape.",Energetic,Creative,Giggly,Hungry,Happy,,,,0,amethyst hybrid cannabis strain gardens zion botanicals crossed parent strains sage n sour granddaddy purple hybrid provides clear focused buzz sharpens senses making perfect pair creative activities enjoying nature productive afternoons inhale brings sweet sour flavors ranging spicy berry tangy grape
Amethyst-Bud,4.2,"amethyst bud is a hybrid cannabis strain bred by soma seeds. this strain is a cross between lavender and afghani hawaiian with a deep purple color.  amethyster bud has a strong and pungent aroma with a round, floral notes on the palate. this strain provides consumers with a pleasant and relaxing high.",Uplifted,Happy,Relaxed,Focused,Energetic,Berry,Lavender,Sweet,0,amethyst bud hybrid cannabis strain bred soma seeds strain cross lavender afghani hawaiian deep purple color amethyster bud strong pungent aroma round floral notes palate strain provides consumers pleasant relaxing high
Amnesia,4.3,"amnesia is typically a sativa-dominant cannabis strain with some variation between breeders. skunk, cinderella 99, and jack herer are some of amnesia’s genetic forerunners, passing on uplifting, creative, and euphoric effects ideal for treating mood disorders. growers should expect a 9-10 week flowering period with moderate yields. this strain normally has a high thc and low cbd profile and produces intense psychotropic effects that new consumers should be wary of. ",Happy,Euphoric,Energetic,Creative,Uplifted,Earthy,Sweet,Skunk,1,amnesia typically cannabis strain variation breeders skunk cinderella jack herer amnesia genetic forerunners passing uplifting creative euphoric effects ideal treating mood disorders growers expect week flowering period moderate yields strain normally high thc low cbd profile produces intense psychotropic effects new consumers wary
Amnesia-Ganja-Haze,5.0,"amnesia ganja haze is another award-winning strain from sumo seeds. the sativa is a genetic combination of the famous amnesia haze (a classic out of amsterdam) and silver buddha haze. this new twist on an old favorite garnered sumo seeds a 1st place win at the 2017 semana y copa cannabica for best sativa, 1st prize for best indoor and premio especial del publico (best overall at the 2017 il castello cannabis cup), as well as 2nd place at the 2017 san canuto cup on the island of fuerteventura. exhibiting a strong haze aroma of sour citrus and spiced tropical fruit, amnesia ganja haze delivers a thc and terpene-heavy profile. this strain’s cerebral effects make it enjoyable for use throughout the day.      ",None,,,,,None,,,1,amnesia ganja haze another strain sumo seeds sativa genetic combination famous amnesia haze classic amsterdam silver buddha haze new twist old favorite garnered sumo seeds place win semana copa cannabica best sativa prize best indoor premio especial del publico best overall il castello cannabis cup well place san canuto cup island fuerteventura exhibiting strong haze aroma sour citrus spiced tropical fruit amnesia ganja haze delivers thc profile strain cerebral effects make enjoyable use throughout day
Amnesia-Haze,4.3,"with earthy flavors of lemons and citrus, amnesia haze is a perfect strain to start your day with a smile. the uplifting, energetic buzz is one you won’t soon forget. its genetics have been traced back to the south asian and jamaican landrace strains, and this cannabis cup winner (1st place 2004, 1st place sativa cup 2012) has since been popularized in the coffee shops of amsterdam.",Happy,Euphoric,Uplifted,Energetic,Creative,Earthy,Citrus,Lemon,1,earthy flavors lemons citrus amnesia haze perfect strain start day smile uplifting energetic buzz one soon forget genetics traced back south asian jamaican landrace strains cannabis cup winner place place sativa cup since popularized coffee shops amsterdam
Ancient-Kush,4.6,"ancient kush is an indica-dominant hybrid strain whose genetic background is lost to history, but most certainly contains the age-old characteristics of afghani indicas. its short bushy plants bloom with resinous buds that tend to darken purple near the end of maturation. skunky lemon and smooth earthiness make up this indica’s aroma in a fragrant introduction of her relaxing, mood-warming effects. ",Sleepy,Relaxed,Aroused,Creative,Energetic,Skunk,Cheese,Mint,2,ancient kush hybrid strain whose genetic background lost history certainly contains characteristics afghani indicas short bushy plants bloom resinous buds tend darken purple near end maturation skunky lemon smooth earthiness make indica aroma fragrant introduction relaxing effects
Ancient-Og,4.6,ancient og from bodhi seeds is a mostly indica strain descended from an iranian landrace and snow lotus. its thickly resinous buds exude aromatic notes of earthy pine and sweet citrus that are fully realized in ancient og’s taste. this high-yielding indica is best suited for sea of green gardens and has a 70 day flowering time. outdoor cultivators should prepare for harvest in the month of october.,Relaxed,Euphoric,Sleepy,Happy,Hungry,Earthy,Flowery,Nutty,2,ancient og bodhi seeds mostly indica strain descended iranian landrace snow lotus thickly resinous buds exude aromatic notes earthy pine sweet citrus fully realized ancient og taste indica best suited sea green gardens day flowering time outdoor cultivators prepare harvest month october
Anesthesia,4.1,"anesthesia is the result of breeding the popular old school afghan skunk indica with herojuana. it was created in 2007 by breeder whazzup in an effort to keep the afghani skunk strain going as it had long been only available as a cutting from another plant. anesthesia was selected as a “breeder’s choice” selection by dutch seed company sannie’s seeds, which has helped to spread its popularity and availability. when grown, these plants branch quite a bit and may grow wider and closer to the ground rather than tall before flowering at 9-10 weeks. anesthesia flowers are dense and covered in crystals. they have a musky, earthy smell and flavor that is common in its afghan heritage. known for its strong, sedative indica buzz, this is a strain that’s often recommended for pain—just as its name would suggest.",Hungry,Sleepy,Relaxed,Happy,Euphoric,Earthy,Pungent,Sweet,2,anesthesia result breeding popular old school afghan skunk indica herojuana created breeder whazzup effort keep afghani skunk strain going long available cutting another plant anesthesia selected breeder choice selection dutch seed company sannie seeds helped spread popularity availability grown plants branch quite bit may grow wider closer ground rather tall flowering weeks anesthesia flowers dense covered crystals musky earthy smell flavor common afghan heritage known strong sedative indica buzz strain often recommended name would suggest
Angel-Og,5.0,"angel og is a fruity kush cross that drapes the body in mellow effects from head to toe. this strain's og kush x blackberry lineage gives the buds an aroma of earth, pine, and sweetness while supplying the consumer with potent physical effects. the strong relaxing properties of angel og are ideal for patients suffering from chronic physical pain, insomnia, and stress. ",Happy,Relaxed,Uplifted,Sleepy,Euphoric,Pungent,Earthy,Berry,2,angel og fruity kush cross drapes body mellow effects head toe strain og kush x blackberry lineage gives buds aroma earth pine sweetness supplying consumer potent physical effects strong relaxing properties angel og ideal patients suffering chronic physical pain insomnia stress
Animal-Cookies,4.5,"animal cookies is the child of the legendary hybrid marijuana strains girl scout cookies and fire og. this clone-only strain flowers in 9-10 weeks, and grows into dense, frosty green buds tipped with purple. true to its name, animal cookies has a sweet, sour aroma with heavy full-body effects that will impress any veteran consumer. this potent medicine might be overkill for mild symptoms, but its ability to obliterate severe pain and insomnia is unprecedented. ",Relaxed,Happy,Euphoric,Creative,Uplifted,Earthy,Sweet,Pungent,0,animal cookies child legendary hybrid marijuana strains girl scout cookies fire og strain flowers weeks grows dense frosty green buds tipped purple true name animal cookies sweet sour aroma heavy effects impress veteran consumer potent medicine might overkill mild symptoms ability obliterate severe pain insomnia unprecedented
Anonymous-Og,5.0,"the 3c anonymous og greets the nose with distinctive woodsy, citrus, diesel scent that indica connoisseurs all know and love. anonymous og is a 3c farms select cut of 3c kushishima. its round dense buds are wrapped in deep green calyxes that drip with resin and glitter with trichomes. the flavor is deep, satisfying the most refined palate. this strain is incredibly relaxing and sedative, and should be consumed in the evening for best results. ",Relaxed,Sleepy,Happy,Euphoric,Hungry,Earthy,Flowery,Coffee,2,anonymous og greets nose distinctive woodsy citrus diesel scent indica connoisseurs know love anonymous og farms select cut kushishima round dense buds wrapped deep green calyxes drip resin glitter trichomes flavor deep satisfying refined palate strain incredibly relaxing sedative consumed evening best results
Anubis,5.0,"anubis by pyramid seeds is the indica-dominant cross of somango and wembley. this strain has been known to produce thc levels around 18% with touches of cbd and cbn that make this strain relaxing without being overly sedating. anubis has a sweet aroma and a flavor some might describe as grapefruit or citrus peel, as well as calming physical effects that creep across the limbs. while growing, this plant remains short and squat, making it ideal for indoor or low-profile growers. this indica has a 56 to 63 day flowering time.",Relaxed,Sleepy,Creative,Focused,Aroused,Grape,Lime,Earthy,2,anubis pyramid seeds cross somango wembley strain known produce thc levels around touches cbd cbn make strain relaxing without overly sedating anubis sweet aroma flavor might describe grapefruit citrus peel well calming physical effects creep across limbs growing plant remains short squat making ideal indoor growers indica day flowering time
Ape-Shit,5.0,"ape shit is the genetic offspring of three quality cannabis strains. by crossing purple urkle, acapulco gold, and cinderella 99, this hybrid strain blends deep body effects against bright, heady mental energy. certain phenotypes exhibit a strong grape odor, but typically this strain smells of lavender with a touch of sweetness. enjoy this strain as a means to quell depression and anxiety.  ",Happy,Relaxed,Uplifted,Giggly,Talkative,Sweet,Grape,Lavender,0,ape shit genetic offspring three quality cannabis strains crossing purple urkle acapulco gold cinderella hybrid strain blends deep body effects bright heady mental energy certain phenotypes exhibit strong grape odor typically strain smells lavender touch sweetness enjoy strain means quell depression anxiety
